Wort;mentions_word;Bereich;SearchCluster;Notes;Region
rechtssyst;298;Sonst.;;;
korruptionsbek;298;Sonst.;;;
transsexuell;298;Sonst.;;;
gewaltbereit;298;Außenpolitik;Sicherheit;;
familienpflegezeit;298;Innenpolitik;;;
einwanderungsgesetz;297;Außenpolitik;Migration;;
holocaust;297;Innenpolitik;;;
attentat;297;Außenpolitik;Sicherheit;;
grundfreibetrag;297;Innenpolitik;;;
krisensituation;297;Außenpolitik;Sicherheit;;
sportpolit;296;Innenpolitik;;;
istanbul;294;Außenpolitik;Außenbeziehung;Land/Region;Türkei
pension;293;Innenpolitik;;;
mietspiegel;293;Innenpolitik;;;
chtlingskonvention;292;Außenpolitik;Migration;;
mietendeckel;292;Innenpolitik;;;
investitionsquot;292;Innenpolitik;;;
usbekistan;291;Außenpolitik;Außenbeziehung;Land/Region;Usbekistan
personenverkehr;290;Innenpolitik;;;
kolandbau;290;Innenpolitik;Landwirtschaft;;
klimaschutzplan;290;Außenpolitik;Umwelt/Natur/Klima;;
mietwohn;289;Innenpolitik;;;
verkehrsweg;288;Innenpolitik;;;
hightechstrategi;288;Innenpolitik;;;
renten-;288;Innenpolitik;;;
lukaschenko;287;Außenpolitik;Außenbeziehung;Land/Region;Belarus
massenvernichtungswaff;287;Innenpolitik;;;
brennelementesteu;286;Außenpolitik;Umwelt/Natur/Klima;Energie;
kitapl;285;Innenpolitik;;;
steuerbelast;285;Innenpolitik;;;
biotechnologi;285;Innenpolitik;;;
risikostrukturausgleich;284;Innenpolitik;;;
rettungspaket;284;Außenpolitik;Finanzkrise;;
exportnation;283;Innenpolitik;;;
gaskraftwerk;283;Außenpolitik;Umwelt/Natur/Klima;Energie;
verbraucherrecht;283;Innenpolitik;;;
wirtschaftspartnerschaftsabkomm;283;Innenpolitik;;;
gleichbehandlungsgesetz;283;Sonst.;;;
pfleger;281;Innenpolitik;;;
regelbedarf;280;Innenpolitik;;;
brennstoff;280;Innenpolitik;;;
zentralasi;279;Außenpolitik;Außenbeziehung;Land/Region;Asien
dkorea;278;Außenpolitik;Außenbeziehung;Land/Region;Südkorea
natur-;278;Außenpolitik;Umwelt/Natur/Klima;;
simbabw;277;Außenpolitik;Außenbeziehung;Land/Region;Simbabwe
monsanto;277;Innenpolitik;Landwirtschaft;;
erdgasf;275;Außenpolitik;Umwelt/Natur/Klima;Energie;
energieversorgungsunternehm;275;Außenpolitik;Umwelt/Natur/Klima;Energie;
importi;274;Innenpolitik;;;
energiebereich;274;Außenpolitik;Umwelt/Natur/Klima;Energie;
nachbarschaftspolit;272;Innenpolitik;;;
neonazis;271;Sonst.;;;
telekommunikationsgesetz;270;Innenpolitik;;;
kennzeichnungspflicht;269;Innenpolitik;;;
rentenalt;269;Innenpolitik;;;
teilzeitbesch;269;Innenpolitik;;;
tierschutzgesetz;268;Innenpolitik;Landwirtschaft;;
kindergelderh;268;Innenpolitik;;;
friedensabkomm;268;Außenpolitik;Außenbeziehung;;
energieforsch;268;Außenpolitik;Umwelt/Natur/Klima;Energie;
obst;267;Innenpolitik;Landwirtschaft;;
netzpolit;266;Innenpolitik;;;
ressourcenschon;266;Außenpolitik;Umwelt/Natur/Klima;;
mindestlohnkommission;266;Innenpolitik;;;
erdbeb;265;Außenpolitik;Umwelt/Natur/Klima;;
ostukrain;265;Außenpolitik;Außenbeziehung;Land/Region;Ukraine
urheberrechtsgesetz;264;Innenpolitik;;;
mandatsverl;264;Außenpolitik;Sicherheit;;
zwangsheirat;264;Sonst.;;;
benzin;264;Außenpolitik;Umwelt/Natur/Klima;;
